unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
047b82e411999d3b86ff4293a7df53d54968c248,2d33a620da6f3f6ea6e1a2aa7f2fbd14ba0fd82bd38d9a7110322725a7fe01e53b7521c72a08424a668558b8011380e01f9f096789bf6355c2bef84de5a6c888,2018-07-08 10:15:00 UTC,2018-07-08 10:15:00 UTC,480,18.11,17031320100,17031081600,32,8,6.25,2,0,0,8.25,Credit Card,Taxi Affiliation Services,41.884.987.192,-87.620.992.913,POINT (-87.6209929134 41.8849871918),41.892.072.635,-87.628.874.157,POINT (-87.6288741572 41.8920726347)
047bcca5373f99e558ee4f34007295f3b12a6c93,e2c8de9ad3b3075befbbb3ddf09d33aa796ccd8fc53b6492fa3a9105eb2c2553b1c62e8fe61614bbcdd87418d4a7c01e55ceedde9fcd0105559add72782d7254,2015-02-13 23:15:00 UTC,2015-02-13 23:30:00 UTC,980,25.28,17031210602,17031241600,21,24,10.85,0,0,0,10.85,Cash,Yellow Cab,41.933.675.988,-87.712.357.476,POINT (-87.7123574755 41.9336759885),41.906.650.766,-8.766.533.766,POINT (-87.6653376596 41.9066507664)
047d1c051e47c92baa3d6f7fcc594614f9175297,c34d6347f812df0e22ee1a907881bffff574dab3839a95c5bb06b084981ae17bc9bbcf5b534862cd5784e7b6ab5c990da8d61cdfbe5334edfa1b82d247a87db3,2015-02-14 08:00:00 UTC,2015-02-14 08:15:00 UTC,1317,26.84,,,,,31.85,0,0,3,34.85,Cash,Checker Taxi,,,,,,
04802d8aa8698dd796f59aec912f1b900a91166d,b96f0ba0e44d7ebbd86bcd1a4e7c527f21cc512f511baeed8ce0c234dd39ce2d3fb0757c209120ae6efe9aa1bf16286fecfc68ece587a511713fd0004e4fae35,2019-10-07 19:30:00 UTC,2019-10-07 19:45:00 UTC,180,12.27,17031281900,17031280100,28,28,5,3,0,0,8,Credit Card,Taxi Affiliation Services,41.879.255.084,-87.642.648.998,POINT (-87.642648998 41.8792550844),41.885.300.022,-87.642.808.466,POINT (-87.6428084655 41.8853000224)
04834441a00c010ae838ea98dd12a54d373bd7b5,8a21e68fe864597d995c1eee8a013576d6b0aeb7d36b2eb1a893ff3e6e7731b8a14bf4579b4ce1d120100565926881e1255f726aea9d35fddca0eda99332d07a,2014-05-30 19:30:00 UTC,2014-05-30 19:45:00 UTC,960,25.19,,,32,3,17.45,0,0,0,17.45,Cash,Blue Ribbon Taxi Association Inc.,41.878.865.584,-87.625.192.142,POINT (-87.6251921424 41.8788655841),4.196.581.197,-87.655.878.786,POINT (-87.6558787862 41.96581197)
0484a84a8ebb032db99447fc73fc5ced727a3c5d,818965bb7234818bd3d6abf1e010a5b1bdbc8ae4b115ad69d4c5215f62eb8dbd9b3b45c987358c65b80b4f618f461d6443c1decef1ba93bb1e0f8cae899c87f2,2015-09-28 22:00:00 UTC,2015-09-28 22:15:00 UTC,480,18.46,17031081700,17031081300,8,8,6.45,0,0,4,10.45,Cash,Top Cab Affiliation,41.892.042.136,-8.763.186.395,POINT (-87.6318639497 41.8920421365),41.898.331.794,-87.620.762.865,POINT (-87.6207628651 41.8983317935)
048f7668fbb04bc8739e42870ab80c6bf472104d,23dafd66af61ccd4162ceaeac4585aea92ad2007f5a3cc72eb1e04965a5443f93c07dff1676ea04aeac54bd2634a0501f4ae3419a974e1d2c40f7edd5a5d3a39,2014-10-31 19:00:00 UTC,2014-10-31 19:15:00 UTC,660,21.79,17031081800,17031832600,8,7,7.65,2,0,0,9.65,Credit Card,Blue Ribbon Taxi Association Inc.,4.189.321.636,-8.763.784.421,POINT (-87.6378442095 41.8932163595),41.914.747.305,-87.654.007.029,POINT (-87.6540070286 41.9147473049)
04909eaa8f9b06a87c53e56857d1268558efcafa,4186f274fa268efc13492071bcf3a5c918e1fa5e9c965c9cf2b68ad1c4ce943c373e1c91705223b0f6f294ad4ba7e496adb4d1c0fdef25e5253183e37fa4ead2,2015-05-01 12:30:00 UTC,2015-05-01 12:45:00 UTC,989,25.3,17031070300,17031830700,7,3,12.85,2.57,0,0,15.42,Credit Card,Yellow Cab,41.929.046.937,-87.651.310.877,POINT (-87.6513108767 41.9290469366),41.958.055.933,-87.660.389.456,POINT (-87.66038945570001 41.958055933)
04916687fd2fa19aae44ad893bc51e63e1371aa3,249ef6f75a49feebb50f4bc68cf7ba703c4006498c63b611ad836d6a092992f1256525b0f558600df409729df3a150b30fc0823452be6f0f0d5e4ecbf871c0ca,2016-08-11 18:00:00 UTC,2016-08-11 18:15:00 UTC,633,21.35,,,24,8,8.5,0,0,0,8.5,Cash,Chicago Carriage Cab Corp,41.901.206.994,-87.676.355.989,POINT (-87.6763559892 41.90120699410001),41.899.602.111,-87.633.308.037,POINT (-87.6333080367 41.899602111)
0492a6bd1ac4f2064f53cc79637f122e305cc2d1,f3d8373d8ac31f00090dc02da4f345443ac31b25eb1e527cf56b2bf9bacb51b3db470a5b78dc8dd594aab0b281225f676eb32123902c1bb649578bea96e33e8a,2013-09-16 22:15:00 UTC,2013-09-16 22:45:00 UTC,1620,27.83,,,56,5,32.25,6.85,0,2,41.1,Credit Card,Taxi Affiliation Services,4.179.259.236,-87.769.615.453,POINT (-87.7696154528 41.7925923603),41.947.791.586,-87.683.834.942,POINT (-87.6838349425 41.9477915865)
